object_1,relations,object_2,image_Name
elephant,overlaps,elephant,download (17).jpg
elephant,doesn't overlap,elephant,download (17).jpg
car,overlaps,elephant,download (17).jpg
elephant,doesn't overlap,car,download (17).jpg
car,overlaps,dog,download (18).jpg
dog,doesn't overlap,car,download (18).jpg
elephant,overlaps,car,download (19).jpg
car,doesn't overlap,elephant,download (19).jpg
car,doesn't overlap,car,download (2).jpg
car,overlaps,car,download (2).jpg
person,doesn't overlap,car,download (3).jpg
car,overlaps,person,download (3).jpg
bus,doesn't overlap,traffic light,download (7).jpg
traffic light,overlaps,bus,download (7).jpg
bus,doesn't overlap,person,download (9).jpg
person,overlaps,bus,download (9).jpg
elephant,overlaps,truck,images (1).jpg
truck,doesn't overlap,elephant,images (1).jpg
elephant,overlaps,car,images (1).jpg
car,doesn't overlap,elephant,images (1).jpg
elephant,overlaps,truck,images (1).jpg
truck,doesn't overlap,elephant,images (1).jpg
elephant,overlaps,car,images (1).jpg
car,doesn't overlap,elephant,images (1).jpg
truck,overlaps,car,images (1).jpg
car,doesn't overlap,truck,images (1).jpg
truck,overlaps,truck,images (1).jpg
truck,doesn't overlap,truck,images (1).jpg
truck,overlaps,car,images (1).jpg
car,doesn't overlap,truck,images (1).jpg
car,overlaps,truck,images (1).jpg
truck,doesn't overlap,car,images (1).jpg
car,overlaps,car,images (1).jpg
car,doesn't overlap,car,images (1).jpg
truck,overlaps,car,images (1).jpg
car,doesn't overlap,truck,images (1).jpg
person,overlaps,car,images.jpg
car,doesn't overlap,person,images.jpg
person,overlaps,elephant,images.jpg
elephant,doesn't overlap,person,images.jpg
person,doesn't overlap,person,images.jpg
person,overlaps,person,images.jpg
person,doesn't overlap,person,images.jpg
person,overlaps,person,images.jpg
person,doesn't overlap,person,images.jpg
person,overlaps,person,images.jpg
car,overlaps,elephant,images.jpg
elephant,doesn't overlap,car,images.jpg
car,doesn't overlap,person,images.jpg
person,overlaps,car,images.jpg
car,overlaps,person,images.jpg
person,doesn't overlap,car,images.jpg
car,overlaps,person,images.jpg
person,doesn't overlap,car,images.jpg
elephant,doesn't overlap,person,images.jpg
person,overlaps,elephant,images.jpg
elephant,doesn't overlap,person,images.jpg
person,overlaps,elephant,images.jpg
elephant,doesn't overlap,person,images.jpg
person,overlaps,elephant,images.jpg
person,doesn't overlap,person,images.jpg
person,overlaps,person,images.jpg
person,doesn't overlap,person,images.jpg
